DATE,CSUSHPISA
1987-01-01,63.965
1987-02-01,64.425
1987-03-01,64.735
1987-04-01,65.131
1987-05-01,65.564
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.937
1987-09-01,67.33
1987-10-01,67.738
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.262
1988-03-01,69.638
1988-04-01,69.975
1988-05-01,70.425
1988-06-01,70.888
1988-07-01,71.354
1988-08-01,71.8
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.071
1988-12-01,73.464
1989-01-01,73.945
1989-02-01,74.381
1989-03-01,74.777
1989-04-01,75.084
1989-05-01,75.306
1989-06-01,75.479
1989-07-01,75.657
1989-08-01,75.835
1989-09-01,76.055
1989-10-01,76.282
1989-11-01,76.52
1989-12-01,76.704
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.297
1990-06-01,77.258
1990-07-01,77.138
1990-08-01,77.008
1990-09-01,76.85
1990-10-01,76.7
1990-11-01,76.37
1990-12-01,76.185
1991-01-01,75.916
1991-02-01,75.734
1991-03-01,75.569
1991-04-01,75.565
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.193
1991-10-01,76.074
1991-11-01,76.013
1991-12-01,76.056
1992-01-01,76.086
1992-02-01,76.155
1992-03-01,76.277
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.332
1992-07-01,76.264
1992-08-01,76.23
1992-09-01,76.23899999999999
1992-10-01,76.376
1992-11-01,76.558
1992-12-01,76.67399999999999
1993-01-01,76.783
1993-02-01,76.837
1993-03-01,76.867
1993-04-01,76.936
1993-05-01,77.03699999999999
1993-06-01,77.243
1993-07-01,77.429
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.14699999999999
1993-12-01,78.32600000000001
1994-01-01,78.59100000000001
1994-02-01,78.727
1994-03-01,78.855
1994-04-01,78.987
1994-05-01,79.221
1994-06-01,79.422
1994-07-01,79.594
1994-08-01,79.781
1994-09-01,79.919
1994-10-01,80.065
1994-11-01,80.149
1994-12-01,80.296
1995-01-01,80.42699999999999
1995-02-01,80.528
1995-03-01,80.59899999999999
1995-04-01,80.661
1995-05-01,80.703
1995-06-01,80.78399999999999
1995-07-01,80.937
1995-08-01,81.11
1995-09-01,81.306
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.736
1996-01-01,81.834
1996-02-01,81.95299999999999
1996-03-01,82.194
1996-04-01,82.42
1996-05-01,82.609
1996-06-01,82.751
1996-07-01,82.928
1996-08-01,83.086
1996-09-01,83.256
1996-10-01,83.37700000000001
1996-11-01,83.552
1996-12-01,83.721
1997-01-01,83.955
1997-02-01,84.18
1997-03-01,84.45200000000001
1997-04-01,84.62200000000001
1997-05-01,84.861
1997-06-01,85.08
1997-07-01,85.33200000000001
1997-08-01,85.573
1997-09-01,85.85
1997-10-01,86.147
1997-11-01,86.632
1997-12-01,87.09200000000001
1998-01-01,87.61399999999999
1998-02-01,88.00200000000001
1998-03-01,88.441
1998-04-01,88.87799999999999
1998-05-01,89.363
1998-06-01,89.844
1998-07-01,90.309
1998-08-01,90.785
1998-09-01,91.258
1998-10-01,91.71600000000001
1998-11-01,92.199
1998-12-01,92.712
1999-01-01,93.20700000000001
1999-02-01,93.671
1999-03-01,94.21700000000001
1999-04-01,94.785
1999-05-01,95.344
1999-06-01,95.97399999999999
1999-07-01,96.59100000000001
1999-08-01,97.21799999999999
1999-09-01,97.86200000000001
1999-10-01,98.523
1999-11-01,99.154
1999-12-01,99.844
2000-01-01,100.551
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.382
2000-11-01,108.301
2000-12-01,109.14
2001-01-01,109.846
2001-02-01,110.5
2001-03-01,111.109
2001-04-01,111.65100000000001
2001-05-01,112.163
2001-06-01,112.796
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.309
2001-11-01,115.85600000000001
2001-12-01,116.455
2002-01-01,117.14299999999999
